track_id,genre_track,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
30XHEePXVbICLmOeU8EDIx,kpop,141999.0,False,0.571,0.883,0.0,-4.898,1.0,0.327,0.149,0.282,0.0558,0.615,179.802,4.0
5pFLJpld4QO6QdGLYWStuF,kpop,158112.0,False,0.723,0.497,11.0,-7.663,0.0,0.0984,0.359,0.0,0.063,0.59,150.141,4.0
0BNhwRWWjBWTTEMDncprUt,kpop,192213.0,False,0.729,0.881,6.0,-2.132,0.0,0.0602,0.0206,0.0,0.269,0.507,104.992,4.0
3r8RuvgbX9s7ammBn07D3W,kpop,185506.0,False,0.814,0.641,6.0,-5.957,0.0,0.111,0.027,0.0,0.0993,0.183,133.854,4.0
6aFJ9bIKII2rFTNUjdwESG,kpop,188664.0,False,0.656,0.919,6.0,-4.263,0.0,0.0948,0.0602,0.00104,0.0347,0.931,89.977,4.0
4yIJ7DV3v55WbOKKOrT8Kl,kpop,163213.0,False,0.562,0.626,4.0,-1.561,0.0,0.0295,0.656,2.35e-06,0.0661,0.464,119.692,3.0
2Jk6iuEi0nv2FrZcSVMWVu,kpop,153426.0,False,0.73,0.191,6.0,-20.505,0.0,0.0757,0.991,0.967,0.124,0.381,103.631,4.0
7E1WGqREhpurDt3VgBye1K,kpop,157560.0,False,0.473,0.903,1.0,-8.206,1.0,0.113,0.00097,0.000216,0.903,0.294,134.948,4.0
28BAzO8dEVgmvcYTEEJZmF,kpop,167044.0,False,0.676,0.867,1.0,-8.984,1.0,0.0435,0.0456,0.736,0.395,0.774,117.029,4.0
7JzYJa1A5eRJLsofP13s2n,kpop,127790.0,False,0.489,0.973,11.0,-2.806,1.0,0.0646,0.0125,0.0141,0.357,0.908,99.749,4.0
1WtCzz23wlFimz0MxN4TQv,kpop,162960.0,False,0.369,0.352,3.0,-14.37,1.0,0.0407,0.83,0.827,0.104,0.126,112.676,3.0
4rIoGk5qkn0yRDshvHVyjb,kpop,183480.0,False,0.542,0.943,7.0,-4.168,0.0,0.0733,0.000323,6.65e-06,0.0926,0.277,129.996,4.0
3FvHoTnf3WWKLm3lHVNaOI,kpop,190476.0,False,0.817,0.585,6.0,-6.782,0.0,0.1,0.103,0.0,0.184,0.422,125.952,4.0
5ipLdi7fRo50rDKIiD5gp1,kpop,180004.0,False,0.501,0.588,8.0,-4.96,1.0,0.0345,0.494,0.000309,0.208,0.367,80.992,4.0
7wFeVMTlgOu910OH9RctRI,kpop,214826.0,False,0.86,0.833,0.0,-2.633,1.0,0.0606,0.106,0.0,0.254,0.909,119.967,4.0
